
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.8500000000000001, para_sv_a: 0.008, para_orth: 0.001, para_reg: 0.005, para_minvol: 0.002, para_sv_L: 90, WD: 4e-05, RE: 0.0772, SAD: 0.4370, Class1_sad: 0.2266, Class2_sad: 0.1863, Class3_sad: 0.8982, RMSE: 0.1458, Class1_mse: 0.1891, Class2_mse: 0.1114, Class3_mse: 0.1247, TIME:2023-05-10 12:08:08
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.6000000000000001, para_sv_a: 0.008, para_orth: 0.001, para_reg: 0.005, para_minvol: 0.0, para_sv_L: 90, WD: 4e-05, RE: 0.0831, SAD: 0.4239, Class1_sad: 0.2500, Class2_sad: 0.2171, Class3_sad: 0.8047, RMSE: 0.2632, Class1_mse: 0.3333, Class2_mse: 0.1850, Class3_mse: 0.2500, TIME:2023-05-10 12:08:44
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.9, para_sv_a: 0.002, para_orth: 0.003, para_reg: 0.005, para_minvol: 0.008, para_sv_L: 90, WD: 4e-05, RE: 0.1112, SAD: 0.4942, Class1_sad: 0.2282, Class2_sad: 0.1939, Class3_sad: 1.0604, RMSE: 0.1565, Class1_mse: 0.2063, Class2_mse: 0.1163, Class3_mse: 0.1316, TIME:2023-05-10 12:09:19
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.6000000000000001, para_sv_a: 0.002, para_orth: 0.007, para_reg: 0.005, para_minvol: 0.008, para_sv_L: 90, WD: 4e-05, RE: 0.1179, SAD: 0.5077, Class1_sad: 0.2303, Class2_sad: 0.1953, Class3_sad: 1.0975, RMSE: 0.1234, Class1_mse: 0.1536, Class2_mse: 0.1144, Class3_mse: 0.0948, TIME:2023-05-10 12:09:54
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.35000000000000003, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_minvol: 0.006, para_sv_L: 90, WD: 4e-05, RE: 0.0921, SAD: 0.5622, Class1_sad: 0.2485, Class2_sad: 0.1878, Class3_sad: 1.2501, RMSE: 0.3342, Class1_mse: 0.3757, Class2_mse: 0.2106, Class3_mse: 0.3866, TIME:2023-05-10 12:10:29
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.4, para_sv_a: 0.004, para_orth: 0.003, para_reg: 0.005, para_minvol: 0.006, para_sv_L: 90, WD: 4e-05, RE: 0.1009, SAD: 0.4987, Class1_sad: 0.2464, Class2_sad: 0.2004, Class3_sad: 1.0492, RMSE: 0.1622, Class1_mse: 0.1711, Class2_mse: 0.1515, Class3_mse: 0.1632, TIME:2023-05-10 12:11:04
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 0.1, para_sv_a: 0.006, para_orth: 0.001, para_reg: 0.005, para_minvol: 0.008, para_sv_L: 90, WD: 4e-05, RE: 0.0864, SAD: 0.4904, Class1_sad: 0.2568, Class2_sad: 0.1708, Class3_sad: 1.0437, RMSE: 0.3355, Class1_mse: 0.4137, Class2_mse: 0.0803, Class3_mse: 0.4001, TIME:2023-05-10 12:11:40
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.75, para_sv_a: 0.006, para_orth: 0.003, para_reg: 0.005, para_minvol: 0.002, para_sv_L: 90, WD: 4e-05, RE: 0.0694, SAD: 0.5624, Class1_sad: 0.2343, Class2_sad: 0.1896, Class3_sad: 1.2632, RMSE: 0.1177, Class1_mse: 0.1356, Class2_mse: 0.1122, Class3_mse: 0.1028, TIME:2023-05-10 12:12:14
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.1, para_sv_a: 0.01, para_orth: 0.007, para_reg: 0.005, para_minvol: 0.004, para_sv_L: 90, WD: 4e-05, RE: 0.0828, SAD: 0.5919, Class1_sad: 0.2360, Class2_sad: 0.1963, Class3_sad: 1.3433, RMSE: 0.1004, Class1_mse: 0.1024, Class2_mse: 0.1220, Class3_mse: 0.0698, TIME:2023-05-10 12:12:50
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.30000000000000004, para_sv_a: 0.008, para_orth: 0.007, para_reg: 0.005, para_minvol: 0.004, para_sv_L: 90, WD: 4e-05, RE: 0.0878, SAD: 0.4304, Class1_sad: 0.2460, Class2_sad: 0.1967, Class3_sad: 0.8484, RMSE: 0.1726, Class1_mse: 0.1776, Class2_mse: 0.1648, Class3_mse: 0.1754, TIME:2023-05-10 12:13:25
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 700.0, para_sv_a: 0.01, para_orth: 0.005, para_reg: 0.005, para_minvol: 0.008, para_sv_L: 90, WD: 4e-05, RE: 0.0883, SAD: 0.5897, Class1_sad: 0.2416, Class2_sad: 0.1702, Class3_sad: 1.3573, RMSE: 0.4069, Class1_mse: 0.4225, Class2_mse: 0.2570, Class3_mse: 0.5021, TIME:2023-05-10 12:14:01
